Nombre,Tomatometer %,Fresh,Rotten,Popcornmeter %
Pelicula sintetica 0050,49,75,26,44
Pelicula sintetica 0051,82,361,13,3
Pelicula sintetica 0052,65,487,167,87
Pelicula sintetica 0053,38,460,166,15
Pelicula sintetica 0054,63,477,292,79
Pelicula sintetica 0055,21,157,266,26
Pelicula sintetica 0056,55,344,234,76
Pelicula sintetica 0057,29,71,280,51
Pelicula sintetica 0058,4,200,88,5
Pelicula sintetica 0059,82,557,24,57
Pelicula sintetica 0060,96,193,247,91
Pelicula sintetica 0061,86,20,66,82
Pelicula sintetica 0062,67,223,264,17
Pelicula sintetica 0063,20,190,199,34
Pelicula sintetica 0064,54,545,212,10
Pelicula sintetica 0065,49,312,95,44
Pelicula sintetica 0066,22,269,237,63
Pelicula sintetica 0067,99,425,147,59
Pelicula sintetica 0068,22,333,265,61
Pelicula sintetica 0069,56,122,269,67
Pelicula sintetica 0070,35,96,109,29
Pelicula sintetica 0071,0,95,232,82
Pelicula sintetica 0072,42,417,279,100
Pelicula sintetica 0073,85,186,13,45
Pelicula sintetica 0074,20,360,287,87
Pelicula sintetica 0075,73,551,110,14
Pelicula sintetica 0076,79,287,284,96
Pelicula sintetica 0077,72,219,291,37
Pelicula sintetica 0078,72,274,284,16
Pelicula sintetica 0079,12,270,49,55
Pelicula sintetica 0080,21,108,30,97
Pelicula sintetica 0081,45,189,54,64
Pelicula sintetica 0082,40,283,32,37
Pelicula sintetica 0083,40,165,133,32
Pelicula sintetica 0084,8,14,210,99
Pelicula sintetica 0085,32,424,7,7
Pelicula sintetica 0086,12,240,11,39
Pelicula sintetica 0087,15,96,287,73
Pelicula sintetica 0088,44,322,233,77
Pelicula sintetica 0089,80,38,206,40
Pelicula sintetica 0090,77,220,236,54
Pelicula sintetica 0091,86,122,191,64
Pelicula sintetica 0092,87,257,199,37
Pelicula sintetica 0093,45,59,223,3
Pelicula sintetica 0094,36,338,148,93
Pelicula sintetica 0095,98,125,152,98
Pelicula sintetica 0096,53,326,299,2
Pelicula sintetica 0097,69,350,101,71
Pelicula sintetica 0098,7,115,83,79
Pelicula sintetica 0099,15,121,19,16
Pelicula sintetica 0100,66,362,154,3
Pelicula sintetica 0101,54,592,64,45
Pelicula sintetica 0102,53,393,193,30
Pelicula sintetica 0103,99,431,112,99
Pelicula sintetica 0104,16,187,277,3
Pelicula sintetica 0105,84,554,284,50
Pelicula sintetica 0106,32,151,116,2
Pelicula sintetica 0107,2,283,277,61
Pelicula sintetica 0108,53,270,161,17
Pelicula sintetica 0109,80,91,91,70
Pelicula sintetica 0110,4,526,135,43
Pelicula sintetica 0111,81,532,162,7
Pelicula sintetica 0112,84,11,124,60
Pelicula sintetica 0113,7,227,260,19
Pelicula sintetica 0114,95,408,184,29
Pelicula sintetica 0115,71,282,175,25
Pelicula sintetica 0116,47,367,235,81
Pelicula sintetica 0117,58,561,242,100
Pelicula sintetica 0118,86,594,159,24
Pelicula sintetica 0119,20,420,78,62
Pelicula sintetica 0120,0,362,267,89
Pelicula sintetica 0121,52,38,88,10
Pelicula sintetica 0122,38,381,279,93
Pelicula sintetica 0123,33,141,51,2
Pelicula sintetica 0124,68,222,298,39
Pelicula sintetica 0125,73,45,201,48
Pelicula sintetica 0126,68,528,80,65
Pelicula sintetica 0127,13,87,72,93
Pelicula sintetica 0128,49,341,280,33
Pelicula sintetica 0129,39,42,97,20
Pelicula sintetica 0130,37,302,277,36
Pelicula sintetica 0131,45,137,198,24
Pelicula sintetica 0132,95,9,245,54
Pelicula sintetica 0133,45,550,87,92
Pelicula sintetica 0134,66,30,91,40
Pelicula sintetica 0135,69,148,83,3
Pelicula sintetica 0136,14,527,1,47
Pelicula sintetica 0137,8,376,154,27
Pelicula sintetica 0138,68,157,127,16
Pelicula sintetica 0139,13,334,248,13
Pelicula sintetica 0140,93,74,195,33
Pelicula sintetica 0141,78,308,60,44
Pelicula sintetica 0142,60,510,61,71
Pelicula sintetica 0143,66,252,183,87
Pelicula sintetica 0144,58,599,176,10
Pelicula sintetica 0145,8,89,253,99
Pelicula sintetica 0146,39,271,115,21
Pelicula sintetica 0147,41,442,259,71
Pelicula sintetica 0148,42,330,252,51
Pelicula sintetica 0149,40,180,100,59
Pelicula sintetica 0150,28,356,179,52
Pelicula sintetica 0151,75,390,108,19
Pelicula sintetica 0152,56,580,65,55
Pelicula sintetica 0153,34,336,60,40
Pelicula sintetica 0154,34,455,134,18
Pelicula sintetica 0155,69,274,119,42
Pelicula sintetica 0156,18,574,63,34
Pelicula sintetica 0157,37,588,234,81
Pelicula sintetica 0158,51,409,11,70
Pelicula sintetica 0159,91,337,209,43
Pelicula sintetica 0160,12,506,279,66
Pelicula sintetica 0161,26,434,180,82
Pelicula sintetica 0162,42,61,204,92
Pelicula sintetica 0163,22,10,136,71
Pelicula sintetica 0164,89,258,66,42
Pelicula sintetica 0165,74,424,243,61
Pelicula sintetica 0166,43,12,19,96
Pelicula sintetica 0167,28,123,137,41
Pelicula sintetica 0168,2,214,234,65
Pelicula sintetica 0169,35,378,40,71
Pelicula sintetica 0170,88,192,275,98
Pelicula sintetica 0171,1,97,79,42
Pelicula sintetica 0172,28,474,105,77
Pelicula sintetica 0173,86,174,158,10
Pelicula sintetica 0174,72,427,267,87
Pelicula sintetica 0175,75,572,68,13
Pelicula sintetica 0176,3,277,214,5
Pelicula sintetica 0177,23,563,262,29
Pelicula sintetica 0178,60,349,175,44
Pelicula sintetica 0179,40,491,130,62
Pelicula sintetica 0180,41,256,18,82
Pelicula sintetica 0181,62,136,11,61
Pelicula sintetica 0182,46,259,238,25
Pelicula sintetica 0183,47,280,262,93
Pelicula sintetica 0184,51,311,111,74
Pelicula sintetica 0185,6,420,33,92
Pelicula sintetica 0186,92,521,272,98
Pelicula sintetica 0187,38,494,46,65
Pelicula sintetica 0188,66,332,250,40
Pelicula sintetica 0189,84,347,184,23
Pelicula sintetica 0190,9,575,89,97
Pelicula sintetica 0191,32,540,266,49
Pelicula sintetica 0192,80,108,109,3
Pelicula sintetica 0193,59,246,107,54
Pelicula sintetica 0194,65,539,64,65
Pelicula sintetica 0195,27,277,250,17
Pelicula sintetica 0196,71,333,186,83
Pelicula sintetica 0197,50,545,276,24
Pelicula sintetica 0198,19,564,78,93
Pelicula sintetica 0199,18,134,293,7
Pelicula sintetica 0200,85,35,143,38
Pelicula sintetica 0201,22,142,136,69
Pelicula sintetica 0202,88,365,65,58
Pelicula sintetica 0203,21,191,27,96
Pelicula sintetica 0204,23,157,211,82
Pelicula sintetica 0205,79,501,279,3
Pelicula sintetica 0206,38,226,263,46
Pelicula sintetica 0207,69,94,238,87
Pelicula sintetica 0208,95,416,79,41
Pelicula sintetica 0209,18,520,20,60
Pelicula sintetica 0210,0,59,48,45
Pelicula sintetica 0211,75,263,168,96
Pelicula sintetica 0212,3,167,257,24
Pelicula sintetica 0213,11,432,221,25
Pelicula sintetica 0214,21,246,115,84
Pelicula sintetica 0215,63,217,190,20
Pelicula sintetica 0216,68,432,216,58
Pelicula sintetica 0217,46,214,158,80
Pelicula sintetica 0218,94,451,286,77
Pelicula sintetica 0219,61,93,108,94
Pelicula sintetica 0220,25,118,40,45
Pelicula sintetica 0221,91,161,58,22
Pelicula sintetica 0222,26,443,96,54
Pelicula sintetica 0223,3,560,74,82
Pelicula sintetica 0224,81,275,147,94
Pelicula sintetica 0225,46,407,4,61
Pelicula sintetica 0226,66,471,139,45
Pelicula sintetica 0227,62,141,55,18
Pelicula sintetica 0228,71,227,183,58
Pelicula sintetica 0229,48,49,286,41
Pelicula sintetica 0230,96,260,40,59
Pelicula sintetica 0231,59,354,279,67
Pelicula sintetica 0232,67,100,141,37
Pelicula sintetica 0233,4,82,21,8
Pelicula sintetica 0234,67,463,288,13
Pelicula sintetica 0235,49,588,233,78
Pelicula sintetica 0236,61,553,11,19
Pelicula sintetica 0237,40,137,13,13
Pelicula sintetica 0238,50,94,86,68
Pelicula sintetica 0239,32,18,23,95
Pelicula sintetica 0240,9,533,61,93
Pelicula sintetica 0241,42,156,157,60
Pelicula sintetica 0242,30,329,239,88
Pelicula sintetica 0243,31,409,122,65
Pelicula sintetica 0244,40,428,21,62
Pelicula sintetica 0245,31,188,224,24
Pelicula sintetica 0246,98,116,243,75
Pelicula sintetica 0247,48,494,271,2
Pelicula sintetica 0248,63,223,196,93
Pelicula sintetica 0249,4,542,238,100
Pelicula sintetica 0250,17,301,123,66
Pelicula sintetica 0251,40,273,221,94
Pelicula sintetica 0252,74,26,180,77
Pelicula sintetica 0253,66,170,271,15
Pelicula sintetica 0254,72,377,111,75
Pelicula sintetica 0255,9,567,87,58
Pelicula sintetica 0256,51,113,54,53
Pelicula sintetica 0257,51,5,125,25
Pelicula sintetica 0258,6,268,86,67
Pelicula sintetica 0259,34,383,43,32
Pelicula sintetica 0260,21,37,111,90
Pelicula sintetica 0261,80,575,59,57
Pelicula sintetica 0262,70,36,182,88
Pelicula sintetica 0263,59,527,17,24
Pelicula sintetica 0264,83,493,24,37
Pelicula sintetica 0265,11,172,33,35
Pelicula sintetica 0266,26,7,146,79
Pelicula sintetica 0267,82,44,241,33
Pelicula sintetica 0268,9,559,85,70
Pelicula sintetica 0269,81,529,298,69
Pelicula sintetica 0270,30,507,27,69
Pelicula sintetica 0271,45,233,274,50
Pelicula sintetica 0272,59,89,124,4
Pelicula sintetica 0273,1,423,197,71
Pelicula sintetica 0274,11,451,91,21
Pelicula sintetica 0275,30,168,286,25
Pelicula sintetica 0276,64,345,204,35
Pelicula sintetica 0277,82,172,239,11
Pelicula sintetica 0278,2,352,38,95
Pelicula sintetica 0279,96,133,290,66
Pelicula sintetica 0280,99,249,242,88
Pelicula sintetica 0281,19,330,89,63
Pelicula sintetica 0282,70,118,71,0
Pelicula sintetica 0283,48,91,254,80
Pelicula sintetica 0284,53,580,173,65
Pelicula sintetica 0285,45,85,10,83
Pelicula sintetica 0286,32,243,59,48
Pelicula sintetica 0287,31,311,295,87
Pelicula sintetica 0288,72,183,157,95
Pelicula sintetica 0289,68,10,14,43
Pelicula sintetica 0290,94,179,234,75
Pelicula sintetica 0291,12,248,241,96
Pelicula sintetica 0292,20,514,244,14
Pelicula sintetica 0293,8,130,2,78
Pelicula sintetica 0294,67,318,75,52
Pelicula sintetica 0295,32,20,227,77
Pelicula sintetica 0296,37,154,195,81
Pelicula sintetica 0297,80,5,227,75
Pelicula sintetica 0298,15,98,116,41
Pelicula sintetica 0299,56,69,197,35
Pelicula sintetica 0300,56,454,152,32
Pelicula sintetica 0301,57,420,240,37
Pelicula sintetica 0302,40,172,52,78
Pelicula sintetica 0303,70,31,104,27
Pelicula sintetica 0304,89,301,206,28
Pelicula sintetica 0305,88,333,84,12
Pelicula sintetica 0306,29,394,65,76
Pelicula sintetica 0307,42,549,202,26
Pelicula sintetica 0308,78,562,155,69
Pelicula sintetica 0309,68,387,134,44
Pelicula sintetica 0310,57,248,89,65
Pelicula sintetica 0311,38,38,100,38
Pelicula sintetica 0312,21,440,297,16
Pelicula sintetica 0313,56,384,254,87
Pelicula sintetica 0314,7,314,18,76
Pelicula sintetica 0315,65,345,287,38
Pelicula sintetica 0316,52,231,273,65
Pelicula sintetica 0317,36,518,179,44
Pelicula sintetica 0318,96,398,269,28
Pelicula sintetica 0319,1,431,269,54
Pelicula sintetica 0320,49,372,124,71
Pelicula sintetica 0321,74,386,182,95
Pelicula sintetica 0322,3,109,120,27
Pelicula sintetica 0323,22,502,201,60
Pelicula sintetica 0324,20,445,262,24
Pelicula sintetica 0325,47,31,279,10
Pelicula sintetica 0326,12,119,111,50
Pelicula sintetica 0327,15,468,177,81
Pelicula sintetica 0328,66,100,213,30
Pelicula sintetica 0329,41,318,1,12
Pelicula sintetica 0330,8,349,77,58
Pelicula sintetica 0331,80,423,50,82
Pelicula sintetica 0332,13,195,283,62
Pelicula sintetica 0333,43,185,63,11
Pelicula sintetica 0334,44,242,76,56
Pelicula sintetica 0335,59,101,281,54
Pelicula sintetica 0336,96,134,46,2
Pelicula sintetica 0337,87,474,216,8
Pelicula sintetica 0338,56,509,31,57
Pelicula sintetica 0339,60,359,50,6
Pelicula sintetica 0340,52,185,219,81
Pelicula sintetica 0341,8,261,279,67
Pelicula sintetica 0342,31,434,55,44
Pelicula sintetica 0343,21,11,72,77
Pelicula sintetica 0344,77,314,132,99
Pelicula sintetica 0345,55,104,115,46
Pelicula sintetica 0346,96,77,210,81
Pelicula sintetica 0347,10,591,135,40
Pelicula sintetica 0348,54,592,159,29
Pelicula sintetica 0349,94,536,92,67
Pelicula sintetica 0350,53,259,17,71
Pelicula sintetica 0351,78,257,269,58
Pelicula sintetica 0352,37,423,133,26
Pelicula sintetica 0353,90,452,83,45
Pelicula sintetica 0354,66,316,135,39
Pelicula sintetica 0355,14,252,0,25
Pelicula sintetica 0356,76,345,162,93
Pelicula sintetica 0357,81,125,172,51
Pelicula sintetica 0358,82,434,236,77
Pelicula sintetica 0359,48,109,190,55
Pelicula sintetica 0360,96,463,299,41
Pelicula sintetica 0361,72,386,183,1
Pelicula sintetica 0362,97,364,197,94
Pelicula sintetica 0363,44,257,245,1
Pelicula sintetica 0364,46,423,238,5
Pelicula sintetica 0365,77,23,150,69
Pelicula sintetica 0366,69,55,59,98
Pelicula sintetica 0367,42,442,133,49
Pelicula sintetica 0368,38,263,1,26
Pelicula sintetica 0369,27,59,39,29
Pelicula sintetica 0370,22,50,187,79
Pelicula sintetica 0371,69,467,52,86
Pelicula sintetica 0372,78,549,264,81
Pelicula sintetica 0373,79,55,148,16
Pelicula sintetica 0374,13,428,117,14
Pelicula sintetica 0375,88,68,53,9
Pelicula sintetica 0376,75,397,18,17
Pelicula sintetica 0377,56,575,12,96
Pelicula sintetica 0378,98,293,209,47
Pelicula sintetica 0379,71,451,97,6
Pelicula sintetica 0380,53,319,76,34
Pelicula sintetica 0381,81,549,84,77
Pelicula sintetica 0382,50,49,35,58
Pelicula sintetica 0383,73,422,244,56
Pelicula sintetica 0384,81,150,0,36
Pelicula sintetica 0385,99,96,65,55
Pelicula sintetica 0386,24,276,236,67
Pelicula sintetica 0387,79,154,105,41
Pelicula sintetica 0388,20,302,15,13
Pelicula sintetica 0389,24,477,197,9
Pelicula sintetica 0390,46,400,38,1
Pelicula sintetica 0391,46,590,47,35
Pelicula sintetica 0392,70,224,99,43
Pelicula sintetica 0393,32,95,155,68
Pelicula sintetica 0394,71,113,278,9
Pelicula sintetica 0395,88,230,237,71
Pelicula sintetica 0396,44,140,87,19
Pelicula sintetica 0397,24,565,129,87
Pelicula sintetica 0398,15,399,128,75
Pelicula sintetica 0399,82,482,185,24
Pelicula sintetica 0400,24,182,184,60
Pelicula sintetica 0401,8,138,146,68
Pelicula sintetica 0402,6,568,176,28
Pelicula sintetica 0403,92,282,242,81
Pelicula sintetica 0404,4,312,77,34
Pelicula sintetica 0405,58,402,52,26
Pelicula sintetica 0406,39,126,132,86
Pelicula sintetica 0407,53,73,245,40
Pelicula sintetica 0408,36,305,67,89
Pelicula sintetica 0409,6,69,149,96
Pelicula sintetica 0410,55,92,103,83
Pelicula sintetica 0411,25,553,5,3
Pelicula sintetica 0412,40,206,14,80
Pelicula sintetica 0413,40,96,129,63
Pelicula sintetica 0414,66,421,171,69
Pelicula sintetica 0415,95,224,21,45
Pelicula sintetica 0416,86,589,252,87
Pelicula sintetica 0417,62,439,31,80
Pelicula sintetica 0418,83,350,185,25
Pelicula sintetica 0419,69,260,284,81
Pelicula sintetica 0420,67,352,206,68
Pelicula sintetica 0421,97,82,10,55
Pelicula sintetica 0422,59,53,20,60
Pelicula sintetica 0423,18,484,206,15
Pelicula sintetica 0424,91,364,62,33
Pelicula sintetica 0425,15,248,216,28
Pelicula sintetica 0426,82,212,142,27
Pelicula sintetica 0427,58,9,62,4
Pelicula sintetica 0428,94,540,243,44
Pelicula sintetica 0429,22,403,67,25
Pelicula sintetica 0430,89,308,91,39
Pelicula sintetica 0431,96,441,146,54
Pelicula sintetica 0432,55,569,221,25
Pelicula sintetica 0433,11,406,192,47
Pelicula sintetica 0434,27,556,293,98
Pelicula sintetica 0435,90,501,134,98
Pelicula sintetica 0436,40,244,169,70
Pelicula sintetica 0437,11,199,137,23
Pelicula sintetica 0438,10,471,90,28
Pelicula sintetica 0439,92,230,158,79
Pelicula sintetica 0440,52,477,232,5
Pelicula sintetica 0441,35,297,46,80
Pelicula sintetica 0442,5,282,237,43
Pelicula sintetica 0443,89,68,198,67
Pelicula sintetica 0444,65,441,160,53
Pelicula sintetica 0445,11,122,143,15
Pelicula sintetica 0446,90,56,267,16
Pelicula sintetica 0447,31,333,295,40
Pelicula sintetica 0448,28,271,138,1
Pelicula sintetica 0449,86,290,87,72
Pelicula sintetica 0450,35,492,142,58
Pelicula sintetica 0451,66,76,281,16
Pelicula sintetica 0452,34,272,203,1
Pelicula sintetica 0453,22,400,47,79
Pelicula sintetica 0454,47,413,286,88
Pelicula sintetica 0455,0,572,0,8
Pelicula sintetica 0456,7,16,21,80
Pelicula sintetica 0457,40,134,9,2
Pelicula sintetica 0458,62,52,9,75
Pelicula sintetica 0459,13,454,26,25
Pelicula sintetica 0460,96,159,252,25
Pelicula sintetica 0461,28,39,191,57
Pelicula sintetica 0462,4,204,18,39
Pelicula sintetica 0463,67,515,244,57
Pelicula sintetica 0464,88,541,49,53
Pelicula sintetica 0465,90,409,39,13
Pelicula sintetica 0466,39,410,122,45
Pelicula sintetica 0467,10,82,2,23
Pelicula sintetica 0468,3,251,261,30
Pelicula sintetica 0469,4,50,156,0
Pelicula sintetica 0470,80,211,1,0
Pelicula sintetica 0471,39,170,199,25
Pelicula sintetica 0472,96,453,44,55
Pelicula sintetica 0473,63,100,172,44
Pelicula sintetica 0474,22,250,22,10
Pelicula sintetica 0475,17,428,225,5
Pelicula sintetica 0476,65,95,76,99
Pelicula sintetica 0477,77,460,242,2
Pelicula sintetica 0478,43,510,88,74
Pelicula sintetica 0479,90,173,104,76
Pelicula sintetica 0480,65,69,97,25
Pelicula sintetica 0481,62,62,65,62
Pelicula sintetica 0482,87,103,262,53
Pelicula sintetica 0483,15,376,285,15
Pelicula sintetica 0484,17,597,54,37
Pelicula sintetica 0485,62,23,206,60
Pelicula sintetica 0486,43,321,133,69
Pelicula sintetica 0487,40,57,216,50
Pelicula sintetica 0488,29,337,49,50
Pelicula sintetica 0489,63,424,265,18
Pelicula sintetica 0490,40,595,237,25
Pelicula sintetica 0491,32,561,46,17
Pelicula sintetica 0492,34,121,233,87
Pelicula sintetica 0493,87,164,192,33
Pelicula sintetica 0494,28,416,202,19
Pelicula sintetica 0495,66,174,293,3
Pelicula sintetica 0496,84,178,7,67
Pelicula sintetica 0497,93,137,158,19
Pelicula sintetica 0498,80,158,13,95
Pelicula sintetica 0499,37,139,206,20
Pelicula sintetica 0500,66,229,239,88
